From	To
Q8TAP4	ENSG00000048540.16
Q9NRB3	ENSG00000136213.10
P62736	ENSG00000107796.14
P03891	ENSG00000198763.3
Q8N5T2	ENSG00000109680.11
Q8N6F7	ENSG00000174500.13
Q8N6F7	ENSG00000284925.2
Q9H267	ENSG00000184056.15
Q9NRD5	ENSG00000100151.16
P27449	ENSG00000185883.12
Q96FV2	ENSG00000141295.14
Q9BS18	ENSG00000129055.13
P26572	ENSG00000131446.17
Q8N3R9	ENSG00000072415.10
O96020	ENSG00000175305.18
Q15800	ENSG00000052802.13
O75808	ENSG00000103326.12
Q13203	ENSG00000133055.10
Q9HCJ1	ENSG00000154122.14
Q9BZV1	ENSG00000167671.12
Q96JQ2	ENSG00000165959.12
Q8NBT0	ENSG00000164087.8
Q9H741	ENSG00000111412.6
Q15768	ENSG00000108947.5
Q9BVS5	ENSG00000171103.11
P09210	ENSG00000244067.3
Q13336	ENSG00000141469.18
Q5VUA4	ENSG00000171467.16
Q7L523	ENSG00000155876.6
Q9NZJ5	ENSG00000172071.15
Q9H115	ENSG00000125814.17
O14981	ENSG00000095564.15
O60281	ENSG00000188994.14
Q96MD2	ENSG00000174206.13
Q495M9	ENSG00000182040.9
Q5JXA9	ENSG00000196209.13
Q9HAQ2	ENSG00000088727.14
Q13568	ENSG00000128604.21
Q86YD5	ENSG00000179241.13
Q14588	ENSG00000263002.8
O00165	ENSG00000143575.16
Q9HBU6	ENSG00000139163.16
Q96DM3	ENSG00000141452.11
Q9ULZ0	ENSG00000261509.7
Q9ULZ0	ENSG00000205457.12
Q9ULZ0	ENSG00000205456.12
Q9ULZ0	ENSG00000183632.15
Q9ULZ0	ENSG00000275034.3
Q9ULZ0	ENSG00000278848.3
Q9H293	ENSG00000166090.8
P0DI81	ENSG00000196459.15
P35443	ENSG00000113296.14
Q14028	ENSG00000070729.14
Q5VVH5	ENSG00000146243.14
O43615	ENSG00000104980.8
P49748	ENSG00000072778.20
P20645	ENSG00000003056.8
P10809	ENSG00000144381.18
Q8N8U9	ENSG00000164619.10
Q06945	ENSG00000124766.7
P58397	ENSG00000151388.11
Q86VM9	ENSG00000158545.16
Q9H469	ENSG00000107872.14
P02775	ENSG00000163736.4
Q5XKL5	ENSG00000189195.15
Q9UJ96	ENSG00000178342.5
Q03701	ENSG00000115816.15
Q5T1H1	ENSG00000188107.15
P01106	ENSG00000136997.22
Q13003	ENSG00000163873.10
Q6JQN1	ENSG00000111271.15
Q00169	ENSG00000174238.16
Q13490	ENSG00000110330.10
P60983	ENSG00000197045.14
Q9BW72	ENSG00000146066.3
Q9NP85	ENSG00000116218.13
P53985	ENSG00000155380.13
P53985	ENSG00000281917.4
P11137	ENSG00000078018.22
Q9HAS3	ENSG00000197506.8
Q8IXM2	ENSG00000258315.5
P28472	ENSG00000166206.16
Q96RD9	ENSG00000143297.19
Q8WU58	ENSG00000173065.14
P05787	ENSG00000170421.13
P02452	ENSG00000108821.14
P0DPK5	ENSG00000268799.4
P37088	ENSG00000111319.13
Q13515	ENSG00000170819.5
Q96MT1	ENSG00000145860.13
Q8N142	ENSG00000185100.12
Q8IY42	ENSG00000154274.15
Q4V9L6	ENSG00000183160.9
Q9HC07	ENSG00000134851.13
Q08188	ENSG00000125780.12
Q13753	ENSG00000058085.15
Q6ZSZ5	ENSG00000104880.19
Q14802	ENSG00000089356.19
O43633	ENSG00000130724.10
P06340	ENSG00000204252.14
P06340	ENSG00000206292.13
P06340	ENSG00000231558.11
P06340	ENSG00000232957.11
P06340	ENSG00000232962.11
P06340	ENSG00000230141.11
P06340	ENSG00000235744.11
O95391	ENSG00000164609.10
O60603	ENSG00000137462.10
Q9NP72	ENSG00000099246.18
P31025	ENSG00000160349.10
P61160	ENSG00000138071.15
Q5QGZ9	ENSG00000172322.14
Q96PZ2	ENSG00000166801.17
Q13889	ENSG00000111358.14
Q9NZR1	ENSG00000128872.10
O75807	ENSG00000087074.9
Q9BSN7	ENSG00000131634.14
Q8NET4	ENSG00000243978.9
Q70EK8	ENSG00000145390.12
A0A0A6YYC5	ENSG00000211792.2
P37173	ENSG00000163513.20
A6NLU0	ENSG00000223638.4
P34913	ENSG00000120915.14
Q96FJ0	ENSG00000138134.12
Q5MNZ9	ENSG00000070540.13
P14174	ENSG00000240972.2
P14174	ENSG00000276701.2
Q9BSE4	ENSG00000122557.11
Q9Y285	ENSG00000179115.11
P14635	ENSG00000134057.15
Q2M389	ENSG00000136051.15
Q8NCD3	ENSG00000123485.12
Q9H2I8	ENSG00000148655.16
Q8NB50	ENSG00000196670.14
Q9H773	ENSG00000179958.10
O00203	ENSG00000132842.15
P35240	ENSG00000186575.20
Q8TDX5	ENSG00000153086.14
Q9NZU0	ENSG00000125848.10
P0C862	ENSG00000240654.6
O43309	ENSG00000158691.15
Q6PIZ9	ENSG00000163519.14
Q92536	ENSG00000103064.15
Q3KPI0	ENSG00000007129.18
Q3KPI0	ENSG00000278565.4
Q9H0I9	ENSG00000151005.5
Q96Q40	ENSG00000138395.17
Q15771	ENSG00000137502.10
P04792	ENSG00000106211.10
A6NMX2	ENSG00000175766.13
A2VDJ0	ENSG00000121210.16
P49411	ENSG00000178952.11
Q96DN0	ENSG00000139055.7
P78406	ENSG00000101146.13
Q92914	ENSG00000161958.11
Q92914	ENSG00000283903.2
O75695	ENSG00000102218.6
Q6ZT07	ENSG00000109436.8
P39086	ENSG00000171189.18
Q9Y287	ENSG00000136156.15
Q2KHR2	ENSG00000181827.16
P10243	ENSG00000185697.17
Q8N2H9	ENSG00000174516.15
Q8WZ75	ENSG00000154133.15
Q8N2G4	ENSG00000150551.11
Q5VVX9	ENSG00000177414.14
Q9C0A0	ENSG00000152910.19
P18065	ENSG00000115457.10
O00590	ENSG00000144648.16
Q13243	ENSG00000100650.16
P21730	ENSG00000197405.8
Q9NNX6	ENSG00000090659.18
Q6PL18	ENSG00000156802.13
Q15418	ENSG00000117676.14
Q15418	ENSG00000281877.3
P36897	ENSG00000106799.15
Q9ULH4	ENSG00000156564.10
Q9HC10	ENSG00000115155.19
Q9P1U1	ENSG00000133627.18
O00444	ENSG00000142731.11
Q9Y616	ENSG00000090376.11
O15294	ENSG00000147162.15
P15586	ENSG00000135677.11
Q9Y6I3	ENSG00000063245.15
Q6UX27	ENSG00000189068.11
Q6UX27	ENSG00000274953.4
Q6UX27	ENSG00000276159.4
Q6UX27	ENSG00000274887.4
Q6UX27	ENSG00000275330.4
Q6UX27	ENSG00000275577.4
Q6UX27	ENSG00000276066.4
Q6UX27	ENSG00000275962.4
Q6UX27	ENSG00000277607.4
Q6UX27	ENSG00000276363.4
P29992	ENSG00000088256.9
P62942	ENSG00000088832.18
Q9Y247	ENSG00000145945.7
O43708	ENSG00000100577.19
Q7Z589	ENSG00000158636.17
