pert_id,uniprot_id,inchi_key,assay_value,binding,atc_agonist,atc_inhibitor
BRD-K43806473,P35030,XASIMHXSUQUHLV-UHFFFAOYSA-N,3.5,True,False,True
BRD-K43927145,O60894,ITIXDWVDFFXNEG-JHOUSYSJSA-N,0.026846666480402168,True,,
BRD-K43927145,P06881,ITIXDWVDFFXNEG-JHOUSYSJSA-N,0.014,True,,
BRD-K43927145,Q16602,ITIXDWVDFFXNEG-JHOUSYSJSA-N,0.2455688888143831,True,,
BRD-K44067360,Q6UVM3,LPEPZBJOKDYZAD-UHFFFAOYSA-N,1.39999997615814,True,False,False
BRD-K44227013,P00519,PHXJVRSECIGDHY-UHFFFAOYSA-N,4.87725,True,False,True
BRD-K44227013,P07333,PHXJVRSECIGDHY-UHFFFAOYSA-N,8.6,True,False,True
BRD-K44227013,P07948,PHXJVRSECIGDHY-UHFFFAOYSA-N,7.324999999999999,True,False,True
BRD-K44227013,P10721,PHXJVRSECIGDHY-UHFFFAOYSA-N,10.0,True,False,True
BRD-K44227013,P11362,PHXJVRSECIGDHY-UHFFFAOYSA-N,1.5666666666666669,True,False,True
BRD-K44227013,P16234,PHXJVRSECIGDHY-UHFFFAOYSA-N,1.6000000000000003,True,False,True
BRD-K44227013,P21802,PHXJVRSECIGDHY-UHFFFAOYSA-N,1.8333333333333333,True,False,True
BRD-K44227013,P22455,PHXJVRSECIGDHY-UHFFFAOYSA-N,5.766666666666667,True,False,True
BRD-K44227013,P22607,PHXJVRSECIGDHY-UHFFFAOYSA-N,9.866666666666665,True,False,True
BRD-K44227013,P35968,PHXJVRSECIGDHY-UHFFFAOYSA-N,5.3125,True,False,True
BRD-K44227013,P36888,PHXJVRSECIGDHY-UHFFFAOYSA-N,8.225,True,False,True
BRD-K44227013,P49336,PHXJVRSECIGDHY-UHFFFAOYSA-N,6.76999998092651,True,False,True
BRD-K44227013,P54756,PHXJVRSECIGDHY-UHFFFAOYSA-N,8.0,True,False,True
BRD-K44227013,Q9Y572,PHXJVRSECIGDHY-UHFFFAOYSA-N,6.950000005960465,True,False,True
BRD-K44408410,P04278,CQOQDQWUFQDJMK-SSTWWWIQSA-N,0.8318,True,,
BRD-K44408410,Q99527,CQOQDQWUFQDJMK-SSTWWWIQSA-N,10.0,True,,
BRD-K44665581,Q9BXF3,UYBRROMMFMPJAN-UHFFFAOYSA-N,10.0,True,,
BRD-K44844162,O00329,BEUQXVWXFDOSAQ-UHFFFAOYSA-N,0.12,True,,
BRD-K44844162,P42336,BEUQXVWXFDOSAQ-UHFFFAOYSA-N,8.436,True,,
BRD-K44844162,P42338,BEUQXVWXFDOSAQ-UHFFFAOYSA-N,9.1,True,,
BRD-K44844162,P48736,BEUQXVWXFDOSAQ-UHFFFAOYSA-N,0.97,True,,
BRD-K45275534,P00742,XHOLNRLADUSQLD-UHFFFAOYSA-N,2.1474,True,False,True
BRD-K45293975,O94804,PBCZSGKMGDDXIJ-KRUBCLEUSA-N,3.0,True,,
BRD-K45293975,O96017,PBCZSGKMGDDXIJ-KRUBCLEUSA-N,10.0,True,,
BRD-K45293975,Q16512,PBCZSGKMGDDXIJ-KRUBCLEUSA-N,8.0,True,,
BRD-K45293975,Q96L34,PBCZSGKMGDDXIJ-KRUBCLEUSA-N,8.0,True,,
BRD-K45293975,Q9NQU5,PBCZSGKMGDDXIJ-KRUBCLEUSA-N,4.0,True,,
BRD-K45435259,P21728,GOTMKOSCLKVOGG-OAHLLOKOSA-N,9.949184848484848,True,,
BRD-K45435259,P21918,GOTMKOSCLKVOGG-OAHLLOKOSA-N,1.2872727272727273,True,,
BRD-K45861246,P08908,XTKDAFGWCDAMPY-UHFFFAOYSA-N,7.843,True,,
BRD-K45861246,P21917,XTKDAFGWCDAMPY-UHFFFAOYSA-N,6.505,True,,
BRD-K46142322,Q13639,JBHLYIVFFLNISJ-UHFFFAOYSA-N,5.665,True,,
BRD-K46290096,P29274,DTYWJKSSUANMHD-UHFFFAOYSA-N,1.4143466666666666,True,,
BRD-K46386702,P00533,UWXSAYUXVSFDBQ-CYBMUJFWSA-N,6.333333333333333,True,,
